transaction_id,customer_id,timestamp,amount,merchant,category,location_lat,location_lon,card_present,is_fraud,fraud_score,status
TX-100000,CUST-10334,2026-06-09T17:24:10.658683,28.07,McDonalds,Food,37.83519,-122.52983,0,0,0.0189,Approved
TX-100001,CUST-10151,2026-04-05T18:26:49.658683,1213.3,Delta Air Lines,Travel,86.36826,-69.23904,1,1,1.0,Declined
TX-100002,CUST-10235,2026-04-25T09:13:04.658683,35.89,McDonalds,Food,37.8906,-122.28341,0,0,0.0027,Approved
TX-100003,CUST-10898,2026-04-07T22:12:30.658683,198.79,StateFarm,Utilities,37.72451,-122.4125,0,0,0.074,Approved
TX-100004,CUST-10389,2026-05-04T17:29:37.658683,6.24,BestBuy,Retail,37.73679,-122.36137,1,0,0.0969,Approved
TX-100005,CUST-10518,2026-04-07T18:55:53.658683,198.13,WasteManagement,Utilities,37.67962,-122.49524,0,0,0.0358,Approved
TX-100006,CUST-10324,2026-04-04T18:53:57.658683,156.0,Uber,Travel,37.88172,-122.53678,0,0,0.0457,Approved
TX-100007,CUST-10007,2026-05-04T20:07:37.658683,52.28,BestBuy,Retail,37.63345,-122.54411,1,0,0.0065,Approved
TX-100008,CUST-10968,2026-04-18T05:47:09.658683,127.94,Verizon,Utilities,37.62923,-122.33908,0,0,0.0471,Approved
TX-100009,CUST-10974,2026-03-31T09:03:34.658683,32.78,ATM Cash Out,Financial,37.73013,-122.37579,0,0,0.0128,Approved
TX-100010,CUST-10159,2026-06-08T23:36:01.658683,2.52,BestBuy,Retail,37.83015,-122.55638,1,0,0.0293,Approved
TX-100011,CUST-10632,2026-05-06T16:14:20.658683,470.98,Uber,Travel,37.77078,-122.36473,0,0,0.081,Approved
TX-100012,CUST-10185,2026-06-11T08:09:04.658683,46.66,Amazon,Retail,37.83095,-122.4449,1,0,0.0909,Approved
TX-100013,CUST-10271,2026-06-11T00:29:23.658683,2416.89,ATM Cash Out,Financial,37.63038,-122.45608,1,1,0.7763,Declined
TX-100014,CUST-10739,2026-04-05T16:37:35.658683,2974.02,ATM Cash Out,Financial,37.82206,-122.45358,0,1,0.7856,Declined
TX-100015,CUST-10549,2026-06-13T13:26:18.658683,551.44,Expedia,Travel,37.89801,-122.50522,0,0,0.3128,Approved
TX-100016,CUST-10672,2026-05-30T20:54:01.658683,12.85,Subway,Food,37.63884,-122.54896,1,0,0.0219,Approved
TX-100017,CUST-10132,2026-04-17T20:54:53.658683,106.46,PG&E,Utilities,37.72742,-122.26083,0,0,0.0615,Approved
TX-100018,CUST-10255,2026-06-05T20:26:05.658683,16.14,Walmart,Retail,37.80767,-122.53224,1,0,0.052,Approved
TX-100019,CUST-10591,2026-06-08T18:01:17.658683,10.61,ATM Cash Out,Financial,37.87554,-122.54385,0,0,0.0145,Approved
TX-100020,CUST-10754,2026-06-07T14:09:29.658683,89.58,Comcast,Utilities,37.78916,-122.45418,0,0,0.0182,Approved
TX-100021,CUST-10146,2026-04-11T16:33:39.658683,12.51,McDonalds,Food,37.83054,-122.5471,1,0,0.087,Approved
TX-100022,CUST-10994,2026-04-16T19:56:44.658683,31.22,Dominos,Food,37.72239,-122.3563,1,0,0.0514,Approved
TX-100023,CUST-10345,2026-04-20T18:11:48.658683,13.41,Walmart,Retail,37.71187,-122.31466,0,0,0.0097,Approved
TX-100024,CUST-10876,2026-04-21T11:51:25.658683,17.22,HomeDepot,Retail,37.9161,-122.25322,1,0,0.0126,Approved
TX-100025,CUST-10232,2026-04-07T15:36:30.658683,40.45,Chase Transfer,Financial,37.75626,-122.46978,0,0,0.0307,Approved
TX-100026,CUST-10446,2026-06-19T03:31:18.658683,25.44,Starbucks,Food,37.85951,-122.34041,1,0,0.1642,Approved
TX-100027,CUST-10696,2026-04-15T06:17:32.658683,20.05,Amazon,Retail,37.83891,-122.55169,1,0,0.086,Approved
TX-100028,CUST-10537,2026-05-01T04:23:28.658683,24.44,HomeDepot,Retail,37.67027,-122.37633,1,0,0.1659,Approved
TX-100029,CUST-10696,2026-04-17T22:33:33.658683,3.19,HomeDepot,Retail,37.82095,-122.52007,1,0,0.061,Approved
TX-100030,CUST-10878,2026-05-04T21:26:33.658683,25.38,Amazon,Retail,37.88023,-122.45315,0,0,0.0468,Approved
TX-100031,CUST-10139,2026-03-27T00:09:54.658683,6.67,Steam,Entertainment,37.64841,-122.27906,1,0,0.0209,Approved
TX-100032,CUST-10751,2026-04-01T17:20:20.658683,43.88,Starbucks,Food,37.67302,-122.52967,1,0,0.0976,Approved
TX-100033,CUST-10248,2026-05-28T16:49:38.658683,76.34,Walmart,Retail,37.62623,-122.55853,1,0,0.0226,Approved
TX-100034,CUST-10971,2026-04-07T23:03:01.658683,86.27,BestBuy,Retail,37.67438,-122.50825,1,0,0.0142,Approved
TX-100035,CUST-10282,2026-05-27T19:05:29.658683,43.31,Netflix,Entertainment,37.80666,-122.53225,1,0,0.0629,Approved
TX-100036,CUST-10482,2026-04-24T23:38:50.658683,11.08,BestBuy,Retail,37.81291,-122.55684,1,0,0.088,Approved
TX-100037,CUST-10772,2026-06-19T22:47:15.658683,228.22,Verizon,Utilities,37.76661,-122.3517,0,0,0.0113,Approved
TX-100038,CUST-10477,2026-06-20T01:08:01.658683,245.55,Uber,Travel,37.88574,-122.54072,0,0,0.2023,Approved
TX-100039,CUST-10090,2026-05-24T03:13:18.658683,16.5,Brokerage,Financial,37.6443,-122.34487,0,0,0.1995,Approved
TX-100040,CUST-10718,2026-04-01T11:21:03.658683,5.25,Coinbase,Financial,37.64728,-122.39711,0,0,0.0724,Approved
TX-100041,CUST-10282,2026-04-27T21:34:11.658683,66.62,WasteManagement,Utilities,37.82766,-122.49703,0,0,0.0101,Approved
TX-100042,CUST-10825,2026-05-14T00:43:08.658683,598.65,Expedia,Travel,37.67332,-122.37434,0,0,0.3826,Approved
TX-100043,CUST-10499,2026-05-02T11:04:14.658683,9.31,Subway,Food,37.84072,-122.43882,0,0,0.0838,Approved
TX-100044,CUST-10658,2026-04-05T04:30:20.658683,9.49,Brokerage,Financial,37.84091,-122.49234,0,0,0.2173,Approved
TX-100045,CUST-10925,2026-06-04T17:04:32.658683,27.93,Dominos,Food,37.69518,-122.44701,1,0,0.0523,Approved
TX-100046,CUST-10962,2026-05-30T22:23:00.658683,11.34,BestBuy,Retail,37.70795,-122.45523,1,0,0.0329,Approved
TX-100047,CUST-10299,2026-06-05T18:10:04.658683,186.6,Comcast,Utilities,37.7738,-122.40315,0,0,0.0352,Approved
TX-100048,CUST-10988,2026-06-11T01:31:02.658683,21.78,BestBuy,Retail,37.64624,-122.29687,1,0,0.2294,Approved
TX-100049,CUST-10214,2026-05-28T21:57:32.658683,38.79,Subway,Food,37.85108,-122.33696,1,0,0.0857,Approved
TX-100050,CUST-10341,2026-06-06T19:20:17.658683,89.32,HomeDepot,Retail,37.67079,-122.30669,0,0,0.0914,Approved
TX-100051,CUST-10092,2026-05-26T08:14:22.658683,33.3,UberEats,Food,37.78869,-122.47992,1,0,0.0351,Approved
TX-100052,CUST-10825,2026-06-08T06:05:04.658683,194.89,Airbnb,Travel,37.66271,-122.38433,0,0,0.0311,Approved
TX-100053,CUST-10518,2026-04-24T17:32:44.658683,58.3,AMC,Entertainment,37.69276,-122.51695,1,0,0.0696,Approved
TX-100054,CUST-10203,2026-06-23T18:44:25.658683,24.78,HomeDepot,Retail,37.85805,-122.54199,1,0,0.0533,Approved
TX-100055,CUST-10406,2026-04-06T00:48:26.658683,65.74,BestBuy,Retail,37.75592,-122.26352,1,0,0.0613,Approved
TX-100056,CUST-10994,2026-05-08T22:31:29.658683,4.32,Walmart,Retail,37.711,-122.34639,1,0,0.0026,Approved
TX-100057,CUST-10229,2026-04-19T19:03:07.658683,79.08,PG&E,Utilities,37.63914,-122.29913,0,0,0.0297,Approved
TX-100058,CUST-10987,2026-05-12T21:26:58.658683,3.16,HomeDepot,Retail,37.9068,-122.42509,1,0,0.0412,Approved
TX-100059,CUST-10868,2026-05-26T20:57:05.658683,36.87,Dominos,Food,37.73556,-122.57329,0,0,0.0364,Approved
TX-100060,CUST-10820,2026-05-01T08:43:17.658683,14.3,Target,Retail,37.84122,-122.50295,0,0,0.0958,Approved
TX-100061,CUST-10137,2026-06-12T05:07:24.658683,9.91,Walmart,Retail,37.7176,-122.31583,1,0,0.0507,Approved
TX-100062,CUST-10487,2026-06-13T08:22:41.658683,44.06,Starbucks,Food,37.67225,-122.44926,1,0,0.0821,Approved
TX-100063,CUST-10229,2026-06-16T04:47:29.658683,318.09,Expedia,Travel,37.64628,-122.3117,0,0,0.2453,Approved
TX-100064,CUST-10175,2026-05-20T05:53:46.658683,10.25,BestBuy,Retail,37.78407,-122.45337,0,0,0.0064,Approved
